gene_name,gene_id,identifier,protein,uniprot_id
NONMMUG000386,NONMMUG000386,NONMMUG000386,JARID2,Q92833
NONMMUG000386,NONMMUG000386,NONMMUG000386,Tardbp,A0A087WZM1
NONMMUG000394,NONMMUG000394,NONMMUG000394,Upf1,Q92900
NONMMUG000394,NONMMUG000394,NONMMUG000394,Tardbp,A0A087WZM1
NONMMUG000425,NONMMUG000425,NONMMUG000425,Tardbp,A0A087WZM1
NONMMUG000446,NONMMUG000446,NONMMUG000446,Tardbp,A0A087WZM1
NONMMUG000455,NONMMUG000455,NONMMUG000455,Tardbp,A0A087WZM1
NONMMUG000464,NONMMUG000464,NONMMUG000464,Tardbp,A0A087WZM1
NONMMUG000480,NONMMUG000480,NONMMUG000480,Tardbp,A0A087WZM1
NONMMUG000480,NONMMUG000480,NONMMUG000480,Mbnl1,Q9NR56
NONMMUG000608,NONMMUG000608,NONMMUG000608,Tardbp,A0A087WZM1
Pms1,NONMMUG000616,NONMMUG000616,Tardbp,A0A087WZM1
NONMMUG000742,NONMMUG000742,NONMMUG000742,Tardbp,A0A087WZM1
NONMMUG000754,NONMMUG000754,NONMMUG000754,Upf1,Q92900
NONMMUG000754,NONMMUG000754,NONMMUG000754,Tardbp,A0A087WZM1
Adam23,NONMMUG000841,NONMMUG000841,Tardbp,A0A087WZM1
NONMMUG000842,NONMMUG000842,NONMMUG000842,Upf1,Q92900
NONMMUG000842,NONMMUG000842,NONMMUG000842,JARID2,Q92833
NONMMUG000842,NONMMUG000842,NONMMUG000842,Tardbp,A0A087WZM1
NONMMUG000853,NONMMUG000853,NONMMUG000853,Tardbp,A0A087WZM1
NONMMUG000860,NONMMUG000860,NONMMUG000860,Tardbp,A0A087WZM1
NONMMUG000860,NONMMUG000860,NONMMUG000860,Mbnl1,Q9NR56
NONMMUG000882,NONMMUG000882,NONMMUG000882,Tardbp,A0A087WZM1
NONMMUG000903,NONMMUG000903,NONMMUG000903,Tardbp,A0A087WZM1
NONMMUG001105,NONMMUG001105,NONMMUG001105,Tardbp,A0A087WZM1
NONMMUG001114,NONMMUG001114,NONMMUG001114,Tardbp,A0A087WZM1
NONMMUG001131,NONMMUG001131,NONMMUG001131,Tardbp,A0A087WZM1
NONMMUG001168,NONMMUG001168,NONMMUG001168,Tardbp,A0A087WZM1
NONMMUG001170,NONMMUG001170,NONMMUG001170,Tardbp,A0A087WZM1
NONMMUG001173,NONMMUG001173,NONMMUG001173,Upf1,Q92900
NONMMUG001173,NONMMUG001173,NONMMUG001173,JARID2,Q92833
NONMMUG001173,NONMMUG001173,NONMMUG001173,Tardbp,A0A087WZM1
C130036L24Rik,NONMMUG001228,NONMMUG001228,Tardbp,A0A087WZM1
NONMMUG001315,NONMMUG001315,NONMMUG001315,Upf1,Q92900
NONMMUG001315,NONMMUG001315,NONMMUG001315,JARID2,Q92833
NONMMUG001315,NONMMUG001315,NONMMUG001315,Tardbp,A0A087WZM1
NONMMUG001374,NONMMUG001374,NONMMUG001374,Tardbp,A0A087WZM1
NONMMUG001503,NONMMUG001503,NONMMUG001503,Tardbp,A0A087WZM1
NONMMUG001555,NONMMUG001555,NONMMUG001555,Upf1,Q92900
NONMMUG001555,NONMMUG001555,NONMMUG001555,Tardbp,A0A087WZM1
NONMMUG001623,NONMMUG001623,NONMMUG001623,Tardbp,A0A087WZM1
NONMMUG001630,NONMMUG001630,NONMMUG001630,Tardbp,A0A087WZM1
NONMMUG001633,NONMMUG001633,NONMMUG001633,Tardbp,A0A087WZM1
NONMMUG001658,NONMMUG001658,NONMMUG001658,Upf1,Q92900
NONMMUG001658,NONMMUG001658,NONMMUG001658,Tardbp,A0A087WZM1
NONMMUG001677,NONMMUG001677,NONMMUG001677,Upf1,Q92900
NONMMUG001677,NONMMUG001677,NONMMUG001677,Tardbp,A0A087WZM1
NONMMUG001677,NONMMUG001677,NONMMUG001677,Mbnl1,Q9NR56
NONMMUG001683,NONMMUG001683,NONMMUG001683,Tardbp,A0A087WZM1
NONMMUG001732,NONMMUG001732,NONMMUG001732,Tardbp,A0A087WZM1
NONMMUG001778,NONMMUG001778,NONMMUG001778,Upf1,Q92900
NONMMUG001778,NONMMUG001778,NONMMUG001778,JARID2,Q92833
NONMMUG001778,NONMMUG001778,NONMMUG001778,Tardbp,A0A087WZM1
NONMMUG001778,NONMMUG001778,NONMMUG001778,Nova1,Q9JKN6
NONMMUG001779,NONMMUG001779,NONMMUG001779,Upf1,Q92900
NONMMUG001779,NONMMUG001779,NONMMUG001779,JARID2,Q92833
NONMMUG001779,NONMMUG001779,NONMMUG001779,Tardbp,A0A087WZM1
NONMMUG001780,NONMMUG001780,NONMMUG001780,Upf1,Q92900
NONMMUG001780,NONMMUG001780,NONMMUG001780,JARID2,Q92833
NONMMUG001780,NONMMUG001780,NONMMUG001780,Tardbp,A0A087WZM1
NONMMUG002087,NONMMUG002087,NONMMUG002087,Tardbp,A0A087WZM1
Tor1aip1,NONMMUG002118,NONMMUG002118,Tardbp,A0A087WZM1
NONMMUG002119,NONMMUG002119,NONMMUG002119,Upf1,Q92900
NONMMUG002119,NONMMUG002119,NONMMUG002119,Tardbp,A0A087WZM1
NONMMUG002136,NONMMUG002136,NONMMUG002136,Upf1,Q92900
NONMMUG002136,NONMMUG002136,NONMMUG002136,JARID2,Q92833
NONMMUG002136,NONMMUG002136,NONMMUG002136,Tardbp,A0A087WZM1
NONMMUG002168,NONMMUG002168,NONMMUG002168,Tardbp,A0A087WZM1
NONMMUG002170,NONMMUG002170,NONMMUG002170,Upf1,Q92900
NONMMUG002170,NONMMUG002170,NONMMUG002170,Tardbp,A0A087WZM1
NONMMUG002194,NONMMUG002194,NONMMUG002194,Tardbp,A0A087WZM1
NONMMUG002207,NONMMUG002207,NONMMUG002207,Tardbp,A0A087WZM1
Gas5,NONMMUG002215,NONMMUG002215,Tardbp,A0A087WZM1
NONMMUG002341,NONMMUG002341,NONMMUG002341,Upf1,Q92900
NONMMUG002341,NONMMUG002341,NONMMUG002341,Tardbp,A0A087WZM1
NONMMUG002366,NONMMUG002366,NONMMUG002366,Upf1,Q92900
NONMMUG002366,NONMMUG002366,NONMMUG002366,Tardbp,A0A087WZM1
NONMMUG002376,NONMMUG002376,NONMMUG002376,Tardbp,A0A087WZM1
NONMMUG002381,NONMMUG002381,NONMMUG002381,Tardbp,A0A087WZM1
NONMMUG002381,NONMMUG002381,NONMMUG002381,Mbnl1,Q9NR56
NONMMUG002382,NONMMUG002382,NONMMUG002382,Upf1,Q92900
NONMMUG002382,NONMMUG002382,NONMMUG002382,Tardbp,A0A087WZM1
NONMMUG002457,NONMMUG002457,NONMMUG002457,Upf1,Q92900
NONMMUG002457,NONMMUG002457,NONMMUG002457,Tardbp,A0A087WZM1
NONMMUG002505,NONMMUG002505,NONMMUG002505,Tardbp,A0A087WZM1
NONMMUG002521,NONMMUG002521,NONMMUG002521,Upf1,Q92900
NONMMUG002521,NONMMUG002521,NONMMUG002521,Tardbp,A0A087WZM1
NONMMUG002575,NONMMUG002575,NONMMUG002575,Tardbp,A0A087WZM1
NONMMUG002578,NONMMUG002578,NONMMUG002578,Tardbp,A0A087WZM1
NONMMUG002578,NONMMUG002578,NONMMUG002578,Mbnl1,Q9NR56
NONMMUG002662,NONMMUG002662,NONMMUG002662,Upf1,Q92900
NONMMUG002662,NONMMUG002662,NONMMUG002662,JARID2,Q92833
NONMMUG002662,NONMMUG002662,NONMMUG002662,Tardbp,A0A087WZM1
NONMMUG002841,NONMMUG002841,NONMMUG002841,Tardbp,A0A087WZM1
Nmt2,NONMMUG021793,NONMMUG021793,Tardbp,A0A087WZM1
NONMMUG021809,NONMMUG021809,NONMMUG021809,Tardbp,A0A087WZM1
NONMMUG021827,NONMMUG021827,NONMMUG021827,Tardbp,A0A087WZM1
NONMMUG021892,NONMMUG021892,NONMMUG021892,Tardbp,A0A087WZM1
NONMMUG021898,NONMMUG021898,NONMMUG021898,Tardbp,A0A087WZM1
NONMMUG021898,NONMMUG021898,NONMMUG021898,Mbnl1,Q9NR56
NONMMUG021901,NONMMUG021901,NONMMUG021901,Tardbp,A0A087WZM1
NONMMUG021903,NONMMUG021903,NONMMUG021903,Tardbp,A0A087WZM1
NONMMUG021910,NONMMUG021910,NONMMUG021910,Tardbp,A0A087WZM1
NONMMUG021912,NONMMUG021912,NONMMUG021912,Tardbp,A0A087WZM1
NONMMUG021919,NONMMUG021919,NONMMUG021919,Tardbp,A0A087WZM1
NONMMUG022043,NONMMUG022043,NONMMUG022043,Tardbp,A0A087WZM1
NONMMUG022065,NONMMUG022065,NONMMUG022065,Tardbp,A0A087WZM1
NONMMUG022070,NONMMUG022070,NONMMUG022070,Tardbp,A0A087WZM1
NONMMUG022087,NONMMUG022087,NONMMUG022087,Upf1,Q92900
NONMMUG022087,NONMMUG022087,NONMMUG022087,Tardbp,A0A087WZM1
NONMMUG022105,NONMMUG022105,NONMMUG022105,Upf1,Q92900
NONMMUG022105,NONMMUG022105,NONMMUG022105,Tardbp,A0A087WZM1
NONMMUG022105,NONMMUG022105,NONMMUG022105,Mbnl1,Q9NR56
NONMMUG022106,NONMMUG022106,NONMMUG022106,Upf1,Q92900
NONMMUG022106,NONMMUG022106,NONMMUG022106,Tardbp,A0A087WZM1
NONMMUG022137,NONMMUG022137,NONMMUG022137,Tardbp,A0A087WZM1
NONMMUG022155,NONMMUG022155,NONMMUG022155,Tardbp,A0A087WZM1
Spopl,NONMMUG022225,NONMMUG022225,Tardbp,A0A087WZM1
NONMMUG022252,NONMMUG022252,NONMMUG022252,Upf1,Q92900
NONMMUG022252,NONMMUG022252,NONMMUG022252,Tardbp,A0A087WZM1
NONMMUG022461,NONMMUG022461,NONMMUG022461,Tardbp,A0A087WZM1
NONMMUG022541,NONMMUG022541,NONMMUG022541,Tardbp,A0A087WZM1
NONMMUG022612,NONMMUG022612,NONMMUG022612,Tardbp,A0A087WZM1
Garnl3,NONMMUG022624,NONMMUG022624,Tardbp,A0A087WZM1
NONMMUG022630,NONMMUG022630,NONMMUG022630,Tardbp,A0A087WZM1
NONMMUG022631,NONMMUG022631,NONMMUG022631,Upf1,Q92900
NONMMUG022631,NONMMUG022631,NONMMUG022631,Tardbp,A0A087WZM1
NONMMUG022638,NONMMUG022638,NONMMUG022638,Tardbp,A0A087WZM1
NONMMUG022652,NONMMUG022652,NONMMUG022652,Tardbp,A0A087WZM1
NONMMUG022664,NONMMUG022664,NONMMUG022664,Tardbp,A0A087WZM1
NONMMUG022665,NONMMUG022665,NONMMUG022665,Tardbp,A0A087WZM1
NONMMUG022666,NONMMUG022666,NONMMUG022666,JARID2,Q92833
NONMMUG022666,NONMMUG022666,NONMMUG022666,Tardbp,A0A087WZM1
Rab14,NONMMUG022689,NONMMUG022689,Tardbp,A0A087WZM1
NONMMUG022747,NONMMUG022747,NONMMUG022747,Upf1,Q92900
NONMMUG022747,NONMMUG022747,NONMMUG022747,JARID2,Q92833
NONMMUG022747,NONMMUG022747,NONMMUG022747,Tardbp,A0A087WZM1
NONMMUG022763,NONMMUG022763,NONMMUG022763,Upf1,Q92900
NONMMUG022763,NONMMUG022763,NONMMUG022763,JARID2,Q92833
NONMMUG022763,NONMMUG022763,NONMMUG022763,Tardbp,A0A087WZM1
NONMMUG022868,NONMMUG022868,NONMMUG022868,Tardbp,A0A087WZM1
NONMMUG022872,NONMMUG022872,NONMMUG022872,Tardbp,A0A087WZM1
NONMMUG022872,NONMMUG022872,NONMMUG022872,Mbnl1,Q9NR56
NONMMUG022899,NONMMUG022899,NONMMUG022899,Tardbp,A0A087WZM1
NONMMUG022922,NONMMUG022922,NONMMUG022922,Tardbp,A0A087WZM1
NONMMUG022981,NONMMUG022981,NONMMUG022981,Tardbp,A0A087WZM1
NONMMUG022986,NONMMUG022986,NONMMUG022986,Upf1,Q92900
NONMMUG022986,NONMMUG022986,NONMMUG022986,Tardbp,A0A087WZM1
NONMMUG022987,NONMMUG022987,NONMMUG022987,Tardbp,A0A087WZM1
NONMMUG023066,NONMMUG023066,NONMMUG023066,Tardbp,A0A087WZM1
Tanc1,NONMMUG023088,NONMMUG023088,Tardbp,A0A087WZM1
Tanc1,NONMMUG023088,NONMMUG023088,Mbnl1,Q9NR56
NONMMUG023213,NONMMUG023213,NONMMUG023213,Tardbp,A0A087WZM1
NONMMUG023277,NONMMUG023277,NONMMUG023277,Upf1,Q92900
NONMMUG023277,NONMMUG023277,NONMMUG023277,Tardbp,A0A087WZM1
NONMMUG023284,NONMMUG023284,NONMMUG023284,Upf1,Q92900
NONMMUG023284,NONMMUG023284,NONMMUG023284,Tardbp,A0A087WZM1
NONMMUG023308,NONMMUG023308,NONMMUG023308,Upf1,Q92900
NONMMUG023308,NONMMUG023308,NONMMUG023308,Tardbp,A0A087WZM1
NONMMUG023312,NONMMUG023312,NONMMUG023312,Upf1,Q92900
NONMMUG023312,NONMMUG023312,NONMMUG023312,JARID2,Q92833
NONMMUG023312,NONMMUG023312,NONMMUG023312,Tardbp,A0A087WZM1
NONMMUG023312,NONMMUG023312,NONMMUG023312,Mbnl1,Q9NR56
NONMMUG023313,NONMMUG023313,NONMMUG023313,Tardbp,A0A087WZM1
NONMMUG023331,NONMMUG023331,NONMMUG023331,Upf1,Q92900
NONMMUG023331,NONMMUG023331,NONMMUG023331,JARID2,Q92833
NONMMUG023331,NONMMUG023331,NONMMUG023331,Tardbp,A0A087WZM1
NONMMUG023333,NONMMUG023333,NONMMUG023333,Upf1,Q92900
NONMMUG023333,NONMMUG023333,NONMMUG023333,Tardbp,A0A087WZM1
Sp3,NONMMUG023397,NONMMUG023397,Tardbp,A0A087WZM1
NONMMUG023574,NONMMUG023574,NONMMUG023574,Tardbp,A0A087WZM1
NONMMUG023584,NONMMUG023584,NONMMUG023584,Upf1,Q92900
NONMMUG023584,NONMMUG023584,NONMMUG023584,Tardbp,A0A087WZM1
Zc3h15,NONMMUG023611,NONMMUG023611,Tardbp,A0A087WZM1
NONMMUG023637,NONMMUG023637,NONMMUG023637,Upf1,Q92900
NONMMUG023637,NONMMUG023637,NONMMUG023637,Tardbp,A0A087WZM1
NONMMUG023637,NONMMUG023637,NONMMUG023637,Mbnl1,Q9NR56
Ypel4,NONMMUG023644,NONMMUG023644,Tardbp,A0A087WZM1
NONMMUG023721,NONMMUG023721,NONMMUG023721,Tardbp,A0A087WZM1
NONMMUG023721,NONMMUG023721,NONMMUG023721,Mbnl1,Q9NR56
Mtch2,NONMMUG023734,NONMMUG023734,Tardbp,A0A087WZM1
NONMMUG023745,NONMMUG023745,NONMMUG023745,Upf1,Q92900
NONMMUG023745,NONMMUG023745,NONMMUG023745,Tardbp,A0A087WZM1
Madd,NONMMUG023760,NONMMUG023760,Tardbp,A0A087WZM1
NONMMUG023813,NONMMUG023813,NONMMUG023813,Upf1,Q92900
NONMMUG023813,NONMMUG023813,NONMMUG023813,Tardbp,A0A087WZM1
NONMMUG023820,NONMMUG023820,NONMMUG023820,Upf1,Q92900
NONMMUG023820,NONMMUG023820,NONMMUG023820,Tardbp,A0A087WZM1
Cry2,NONMMUG023832,NONMMUG023832,Tardbp,A0A087WZM1
NONMMUG023926,NONMMUG023926,NONMMUG023926,Tardbp,A0A087WZM1
NONMMUG023928,NONMMUG023928,NONMMUG023928,Tardbp,A0A087WZM1
Caprin1,NONMMUG024004,NONMMUG024004,Tardbp,A0A087WZM1
NONMMUG024017,NONMMUG024017,NONMMUG024017,Upf1,Q92900
NONMMUG024017,NONMMUG024017,NONMMUG024017,Tardbp,A0A087WZM1
linc1509,NONMMUG024030,NONMMUG024030,Upf1,Q92900
linc1509,NONMMUG024030,NONMMUG024030,JARID2,Q92833
linc1509,NONMMUG024030,NONMMUG024030,Tardbp,A0A087WZM1
NONMMUG024032,NONMMUG024032,NONMMUG024032,Upf1,Q92900
NONMMUG024032,NONMMUG024032,NONMMUG024032,JARID2,Q92833
NONMMUG024032,NONMMUG024032,NONMMUG024032,Tardbp,A0A087WZM1
NONMMUG024036,NONMMUG024036,NONMMUG024036,Upf1,Q92900
NONMMUG024036,NONMMUG024036,NONMMUG024036,Tardbp,A0A087WZM1
NONMMUG024078,NONMMUG024078,NONMMUG024078,Tardbp,A0A087WZM1
NONMMUG024164,NONMMUG024164,NONMMUG024164,Upf1,Q92900
NONMMUG024164,NONMMUG024164,NONMMUG024164,Tardbp,A0A087WZM1
NONMMUG024168,NONMMUG024168,NONMMUG024168,Upf1,Q92900
NONMMUG024168,NONMMUG024168,NONMMUG024168,Tardbp,A0A087WZM1
NONMMUG024385,NONMMUG024385,NONMMUG024385,Tardbp,A0A087WZM1
Trp53bp1,NONMMUG024403,NONMMUG024403,Tardbp,A0A087WZM1
NONMMUG024436,NONMMUG024436,NONMMUG024436,Tardbp,A0A087WZM1
NONMMUG024443,NONMMUG024443,NONMMUG024443,Upf1,Q92900
NONMMUG024443,NONMMUG024443,NONMMUG024443,Tardbp,A0A087WZM1
NONMMUG024443,NONMMUG024443,NONMMUG024443,Mbnl1,Q9NR56
NONMMUG024603,NONMMUG024603,NONMMUG024603,Upf1,Q92900
NONMMUG024603,NONMMUG024603,NONMMUG024603,Tardbp,A0A087WZM1
Tmem87b,NONMMUG024604,NONMMUG024604,Tardbp,A0A087WZM1
NONMMUG024643,NONMMUG024643,NONMMUG024643,Tardbp,A0A087WZM1
NONMMUG024688,NONMMUG024688,NONMMUG024688,Upf1,Q92900
NONMMUG024688,NONMMUG024688,NONMMUG024688,Tardbp,A0A087WZM1
NONMMUG024749,NONMMUG024749,NONMMUG024749,Upf1,Q92900
NONMMUG024749,NONMMUG024749,NONMMUG024749,Tardbp,A0A087WZM1
Gpcpd1,NONMMUG024767,NONMMUG024767,Tardbp,A0A087WZM1
NONMMUG024805,NONMMUG024805,NONMMUG024805,Tardbp,A0A087WZM1
Plcb4,NONMMUG024808,NONMMUG024808,Tardbp,A0A087WZM1
NONMMUG024876,NONMMUG024876,NONMMUG024876,Tardbp,A0A087WZM1
NONMMUG025129,NONMMUG025129,NONMMUG025129,Tardbp,A0A087WZM1
NONMMUG025130,NONMMUG025130,NONMMUG025130,Tardbp,A0A087WZM1
NONMMUG025131,NONMMUG025131,NONMMUG025131,Tardbp,A0A087WZM1
NONMMUG025191,NONMMUG025191,NONMMUG025191,Upf1,Q92900
NONMMUG025191,NONMMUG025191,NONMMUG025191,JARID2,Q92833
NONMMUG025191,NONMMUG025191,NONMMUG025191,Tardbp,A0A087WZM1
Itch,NONMMUG025204,NONMMUG025204,Tardbp,A0A087WZM1
NONMMUG025252,NONMMUG025252,NONMMUG025252,Upf1,Q92900
NONMMUG025252,NONMMUG025252,NONMMUG025252,JARID2,Q92833
NONMMUG025252,NONMMUG025252,NONMMUG025252,Tardbp,A0A087WZM1
NONMMUG025252,NONMMUG025252,NONMMUG025252,Mbnl1,Q9NR56
Gm14278,NONMMUG025285,NONMMUG025285,Tardbp,A0A087WZM1
NONMMUG025367,NONMMUG025367,NONMMUG025367,Tardbp,A0A087WZM1
NONMMUG025502,NONMMUG025502,NONMMUG025502,Upf1,Q92900
NONMMUG025502,NONMMUG025502,NONMMUG025502,Tardbp,A0A087WZM1
NONMMUG025502,NONMMUG025502,NONMMUG025502,Mbnl1,Q9NR56
Zmynd8,NONMMUG025500,NONMMUG025500,Tardbp,A0A087WZM1
Dpm1,NONMMUG025599,NONMMUG025599,Tardbp,A0A087WZM1
NONMMUG025607,NONMMUG025607,NONMMUG025607,Tardbp,A0A087WZM1
NONMMUG025744,NONMMUG025744,NONMMUG025744,JARID2,Q92833
NONMMUG025744,NONMMUG025744,NONMMUG025744,Tardbp,A0A087WZM1
Gnas,NONMMUG025755,NONMMUG025755,Tardbp,A0A087WZM1
NONMMUG025905,NONMMUG025905,NONMMUG025905,Upf1,Q92900
NONMMUG025905,NONMMUG025905,NONMMUG025905,JARID2,Q92833
NONMMUG025905,NONMMUG025905,NONMMUG025905,Tardbp,A0A087WZM1
NONMMUG025923,NONMMUG025923,NONMMUG025923,Upf1,Q92900
NONMMUG025923,NONMMUG025923,NONMMUG025923,Tardbp,A0A087WZM1
NONMMUG025941,NONMMUG025941,NONMMUG025941,Tardbp,A0A087WZM1
NONMMUG025957,NONMMUG025957,NONMMUG025957,Upf1,Q92900
NONMMUG025957,NONMMUG025957,NONMMUG025957,Tardbp,A0A087WZM1
NONMMUG026018,NONMMUG026018,NONMMUG026018,Upf1,Q92900
NONMMUG026018,NONMMUG026018,NONMMUG026018,Tardbp,A0A087WZM1
NONMMUG026108,NONMMUG026108,NONMMUG026108,Upf1,Q92900
NONMMUG026108,NONMMUG026108,NONMMUG026108,JARID2,Q92833
NONMMUG026108,NONMMUG026108,NONMMUG026108,Tardbp,A0A087WZM1
NONMMUG026108,NONMMUG026108,NONMMUG026108,Mbnl1,Q9NR56
NONMMUG026186,NONMMUG026186,NONMMUG026186,Tardbp,A0A087WZM1
NONMMUG026198,NONMMUG026198,NONMMUG026198,Tardbp,A0A087WZM1
NONMMUG026199,NONMMUG026199,NONMMUG026199,Tardbp,A0A087WZM1
NONMMUG026201,NONMMUG026201,NONMMUG026201,Tardbp,A0A087WZM1
Tnik,NONMMUG026234,NONMMUG026234,Tardbp,A0A087WZM1
NONMMUG026236,NONMMUG026236,NONMMUG026236,Tardbp,A0A087WZM1
NONMMUG026251,NONMMUG026251,NONMMUG026251,Tardbp,A0A087WZM1
Phc3,NONMMUG026287,NONMMUG026287,Tardbp,A0A087WZM1
Phc3,NONMMUG026287,NONMMUG026287,Mbnl1,Q9NR56
NONMMUG026320,NONMMUG026320,NONMMUG026320,Tardbp,A0A087WZM1
NONMMUG026421,NONMMUG026421,NONMMUG026421,JARID2,Q92833
NONMMUG026421,NONMMUG026421,NONMMUG026421,Tardbp,A0A087WZM1
NONMMUG026592,NONMMUG026592,NONMMUG026592,Tardbp,A0A087WZM1
NONMMUG026595,NONMMUG026595,NONMMUG026595,Tardbp,A0A087WZM1
NONMMUG026645,NONMMUG026645,NONMMUG026645,Tardbp,A0A087WZM1
NONMMUG026716,NONMMUG026716,NONMMUG026716,Upf1,Q92900
NONMMUG026716,NONMMUG026716,NONMMUG026716,Tardbp,A0A087WZM1
NONMMUG026716,NONMMUG026716,NONMMUG026716,Mbnl1,Q9NR56
NONMMUG026731,NONMMUG026731,NONMMUG026731,Upf1,Q92900
NONMMUG026731,NONMMUG026731,NONMMUG026731,JARID2,Q92833
NONMMUG026731,NONMMUG026731,NONMMUG026731,Tardbp,A0A087WZM1
NONMMUG026790,NONMMUG026790,NONMMUG026790,Tardbp,A0A087WZM1
NONMMUG026827,NONMMUG026827,NONMMUG026827,Upf1,Q92900
NONMMUG026827,NONMMUG026827,NONMMUG026827,Tardbp,A0A087WZM1
NONMMUG026835,NONMMUG026835,NONMMUG026835,Tardbp,A0A087WZM1
NONMMUG026836,NONMMUG026836,NONMMUG026836,Upf1,Q92900
NONMMUG026836,NONMMUG026836,NONMMUG026836,Tardbp,A0A087WZM1
NONMMUG026906,NONMMUG026906,NONMMUG026906,Tardbp,A0A087WZM1
NONMMUG026907,NONMMUG026907,NONMMUG026907,Tardbp,A0A087WZM1
NONMMUG026934,NONMMUG026934,NONMMUG026934,Tardbp,A0A087WZM1
NONMMUG026952,NONMMUG026952,NONMMUG026952,Tardbp,A0A087WZM1
NONMMUG026966,NONMMUG026966,NONMMUG026966,Tardbp,A0A087WZM1
NONMMUG027061,NONMMUG027061,NONMMUG027061,Upf1,Q92900
NONMMUG027061,NONMMUG027061,NONMMUG027061,Tardbp,A0A087WZM1
NONMMUG027155,NONMMUG027155,NONMMUG027155,Tardbp,A0A087WZM1
NONMMUG027173,NONMMUG027173,NONMMUG027173,Upf1,Q92900
NONMMUG027173,NONMMUG027173,NONMMUG027173,JARID2,Q92833
NONMMUG027173,NONMMUG027173,NONMMUG027173,Tardbp,A0A087WZM1
NONMMUG027231,NONMMUG027231,NONMMUG027231,Upf1,Q92900
NONMMUG027231,NONMMUG027231,NONMMUG027231,Tardbp,A0A087WZM1
NONMMUG027276,NONMMUG027276,NONMMUG027276,Tardbp,A0A087WZM1
NONMMUG027296,NONMMUG027296,NONMMUG027296,Upf1,Q92900
NONMMUG027296,NONMMUG027296,NONMMUG027296,Tardbp,A0A087WZM1
NONMMUG027372,NONMMUG027372,NONMMUG027372,Tardbp,A0A087WZM1
Hipk1,NONMMUG027496,NONMMUG027496,Tardbp,A0A087WZM1
NONMMUG027532,NONMMUG027532,NONMMUG027532,Upf1,Q92900
NONMMUG027532,NONMMUG027532,NONMMUG027532,Tardbp,A0A087WZM1
NONMMUG027753,NONMMUG027753,NONMMUG027753,Tardbp,A0A087WZM1
NONMMUG027794,NONMMUG027794,NONMMUG027794,Tardbp,A0A087WZM1
NONMMUG027818,NONMMUG027818,NONMMUG027818,Upf1,Q92900
NONMMUG027818,NONMMUG027818,NONMMUG027818,Tardbp,A0A087WZM1
Gm15551,NONMMUG027863,NONMMUG027863,JARID2,Q92833
Gm15551,NONMMUG027863,NONMMUG027863,Tardbp,A0A087WZM1
NONMMUG027882,NONMMUG027882,NONMMUG027882,Tardbp,A0A087WZM1
NONMMUG027953,NONMMUG027953,NONMMUG027953,Upf1,Q92900
NONMMUG027953,NONMMUG027953,NONMMUG027953,Tardbp,A0A087WZM1
NONMMUG027979,NONMMUG027979,NONMMUG027979,Tardbp,A0A087WZM1
NONMMUG028016,NONMMUG028016,NONMMUG028016,Tardbp,A0A087WZM1
NONMMUG028031,NONMMUG028031,NONMMUG028031,Tardbp,A0A087WZM1
Adh5,NONMMUG028072,NONMMUG028072,Tardbp,A0A087WZM1
NONMMUG028074,NONMMUG028074,NONMMUG028074,Upf1,Q92900
NONMMUG028074,NONMMUG028074,NONMMUG028074,Tardbp,A0A087WZM1
NONMMUG028081,NONMMUG028081,NONMMUG028081,Upf1,Q92900
NONMMUG028081,NONMMUG028081,NONMMUG028081,JARID2,Q92833
NONMMUG028081,NONMMUG028081,NONMMUG028081,Tardbp,A0A087WZM1
NONMMUG028081,NONMMUG028081,NONMMUG028081,Mbnl1,Q9NR56
Unc5c,NONMMUG028096,NONMMUG028096,Tardbp,A0A087WZM1
NONMMUG028102,NONMMUG028102,NONMMUG028102,Tardbp,A0A087WZM1
NONMMUG028103,NONMMUG028103,NONMMUG028103,Tardbp,A0A087WZM1
NONMMUG028173,NONMMUG028173,NONMMUG028173,Tardbp,A0A087WZM1
NONMMUG028258,NONMMUG028258,NONMMUG028258,Upf1,Q92900
NONMMUG028258,NONMMUG028258,NONMMUG028258,JARID2,Q92833
NONMMUG028258,NONMMUG028258,NONMMUG028258,Tardbp,A0A087WZM1
NONMMUG028268,NONMMUG028268,NONMMUG028268,Upf1,Q92900
NONMMUG028268,NONMMUG028268,NONMMUG028268,Tardbp,A0A087WZM1
NONMMUG028330,NONMMUG028330,NONMMUG028330,Upf1,Q92900
NONMMUG028330,NONMMUG028330,NONMMUG028330,Tardbp,A0A087WZM1
NONMMUG028334,NONMMUG028334,NONMMUG028334,Upf1,Q92900
NONMMUG028334,NONMMUG028334,NONMMUG028334,Tardbp,A0A087WZM1
NONMMUG028354,NONMMUG028354,NONMMUG028354,Tardbp,A0A087WZM1
NONMMUG028413,NONMMUG028413,NONMMUG028413,Tardbp,A0A087WZM1
NONMMUG028441,NONMMUG028441,NONMMUG028441,Tardbp,A0A087WZM1
NONMMUG028442,NONMMUG028442,NONMMUG028442,Tardbp,A0A087WZM1
NONMMUG028468,NONMMUG028468,NONMMUG028468,Tardbp,A0A087WZM1
NONMMUG028514,NONMMUG028514,NONMMUG028514,Upf1,Q92900
NONMMUG028514,NONMMUG028514,NONMMUG028514,Tardbp,A0A087WZM1
Osgin2,NONMMUG028591,NONMMUG028591,Tardbp,A0A087WZM1
