lncRNA_ID,Score,PredLabel
lNONHSAG018624,1.7376483644628244,1
lRP11-53I6.2,1.5185065965268443,1
lNONHSAG037225,1.1628029120187584,1
lNONHSAG015112,1.271104124561159,1
lNONHSAG001242,1.3505370929496614,1
lNONHSAG042306,1.3160258372497644,1
lNONHSAG022287,1.5708451636060339,1
lNONHSAG013555,1.2722731395153026,1
lNONHSAG061460,1.1547453653083544,1
lHSALNG0081372,1.2926011533812662,1
lNONHSAG021471,1.4496266065976862,1
lENSG00000283696,1.5676865718628044,1
lNONHSAG011211,1.1646033332991799,1
lNONHSAG031750,1.6477939679615154,1
lNONHSAG001351,1.4833828307220465,1
lNONHSAG000443,1.5491674965584217,1
lNONHSAG011084,1.2525143961570215,1
lNONHSAG019839,1.2144370459602918,1
lNONHSAG045045,1.4546108604885823,1
lNONHSAG020361,1.583017049265404,1
lHSALNG0060188,1.517674670040531,1
lNONHSAG017827,1.5464148251030672,1
lNONHSAG040408,1.4220502354382596,1
lNONHSAG004746,1.7312077850714296,1
lNONHSAG054787,1.6063826762354232,1
lNONHSAG013808,1.3072993669053936,1
lNONHSAG041905,1.2455843117339462,1
lNONHSAG014414,1.3415178424392558,1
lHSALNG0129835,1.6656177230374674,1
lNONHSAG050078,1.4796310872728604,1
lENSG00000289474,1.5852167152782322,1
lNONHSAG000642,1.4410664283298864,1
lDYX1C1-CCPG1,1.4300209581679546,1
lNONHSAG012555,1.5360706888765172,1
lNONHSAG005237,1.2814762603201295,1
lNONHSAG014515,1.176439713061722,1
lDTX2P1-UPK3BP1-PMS2P11,1.2095584241569064,1
lNONHSAG027799,1.3547288758867033,1
lHSALNG0093383,1.6158389700763642,1
lNONHSAG030059,1.167195545131559,1
lENSG00000233421,1.4064611495653558,1
lNONHSAG034348,1.212378215896802,1
lENSG00000231918,0.5619552259079192,1
lNONHSAG019685,0.9600603986104339,1
lNONHSAG022495,1.1832715715301099,1
lHSALNG0116712,1.5013807483620347,1
lENSG00000259001,1.4376713990917374,1
lNONHSAG012505,1.1952608807403173,1
lNONHSAG021094,0.9781455850314806,1
lNONHSAG023837,1.154738835743725,1
lNONHSAG026404,1.5152078641943625,1
lNONHSAG004027,1.434330559736221,1
lENSG00000258232,1.555484820915975,1
lAC005614.5,1.527639046554949,1
lNONHSAG008859,1.1800611770076266,1
lNONHSAG011090,0.7867915552220204,1
lNONHSAG018463,1.460423593836051,1
lNONHSAG007631,1.4050533217656458,1
lENSG00000286644,1.3630715203485373,1
lNONHSAG022845,1.3936458686814852,1
lNONHSAG033692,1.37301277131564,1
lENSG00000271955,1.4330299281179286,1
lENSG00000235979,1.434153513769342,1
lNONHSAG005548,1.494777134016399,1
lNONHSAG020089,1.3232775704938398,1
lHSALNG0025747,1.5453868423493127,1
lNONHSAG010307,0.8904396113189073,1
lNONHSAG036615,1.4664772993262964,1
lHSALNG0091509,1.846387364904654,1
lNONHSAG000069,1.5307874730040787,1
lNONHSAG037900,1.2253176063100248,1
lCTD-2323K18.1,1.4623159175272171,1
lNONHSAG048886,1.213862018064841,1
lNONHSAG044346,1.6025354113724966,1
lNONHSAG017245,1.1596722811467508,1
lENSG00000275016,1.081534016392876,1
lNONHSAG000536,1.357505237979904,1
lNONHSAG001121,1.0508966842938996,1
lNONHSAG031581,1.4590363653407614,1
lNONHSAG050845,1.207529185865635,1
lNONHSAG018796,1.4927574722230297,1
lNONHSAG027882,1.538634417881692,1
lNONHSAG015106,1.327930855227475,1
lHSALNG0130923,1.00456284604493,1
lNONHSAG025051,1.372947529296649,1
lNONHSAG014875,1.7904699095045764,1
lNONHSAG052943,1.569501778938001,1
lNONHSAG025649,1.2322220995408877,1
lNONHSAG042949,1.1641257739431516,1
lNONHSAG027686,1.397173782921211,1
lNONHSAG015489,1.3497623551856002,1
lNONHSAG051736,1.1691436671576376,1
lNONHSAG036300,0.8973389998985191,1
lNONHSAG022046,1.4325187314628316,1
lNONHSAG002530,0.8980311593263046,1
lNONHSAG009779,1.0269896089783366,1
lNONHSAG022953,1.2987572483068384,1
lNONHSAG000484,1.1348747183314707,1
lENSG00000285565,1.50888154294611,1
lENSG00000257322,1.1863727800497337,1
lNONHSAG032682,1.410721744690786,1
lNONHSAG041293,1.3098260294733954,1
lNONHSAG093517,1.4726040641225318,1
lAC005394.1,1.3142044339684382,1
lNONHSAG050523,1.375256870010059,1
lNONHSAG018921,1.2707443983018827,1
lNONHSAG051280,1.2510640961735753,1
lHSALNG0048982,1.9320031552207233,1
lNONHSAG055315,1.6890944051071521,1
lNONHSAG047097,1.232897185098519,1
lNONHSAG043550,1.327457896044816,1
lNONHSAG010735,1.0244869271409378,1
lNONHSAG000967,1.5338180827227568,1
lNONHSAG024925,1.3744261186852178,1
lNONHSAG013431,1.3659249138254772,1
lNONHSAG029130,1.4161497414237054,1
lNONHSAG053814,1.2880230500426642,1
lNONHSAG042500,1.0002218155058493,1
lNONHSAG002576,1.1215127121261297,1
lNONHSAG015969,1.5699193464990593,1
lENSG00000265496,1.1670164589662413,1
lNONHSAG015182,1.6473327535815763,1
lNONHSAG007695,1.4476484803638208,1
lNONHSAG026743,1.5256330615705274,1
lHSALNG0117712,1.401951546845023,1
lNONHSAG054635,1.2061309478767832,1
lNONHSAG018180,1.5285756752158015,1
lNONHSAG025319,1.1473507756761698,1
lNONHSAG035369,1.5549878618118491,1
lNONHSAG026091,1.0485666308592663,1
lHSALNG0000343,2.0420292927784054,1
lNONHSAG002378,0.8963475943950634,1
lNONHSAG009403,1.2363250128958292,1
lHSALNG0123022,1.4333710311045813,1
lNONHSAG070960,1.544811114890134,1
lNONHSAG013183,1.4956906718919178,1
lNONHSAG021454,1.2209450047601074,1
lHSALNG0106282,1.2369907274589274,1
lNONHSAG003074,1.3453535693347867,1
lLA16c-306E5.3,1.0386239041509775,1
lNONHSAG050750,1.2237792481501621,1
lHSALNG0035423,1.0005840257572167,1
lNONHSAG087351,1.2682025800195298,1
lNONHSAG030332,1.4202481278269765,1
lNONHSAG027247,1.377434810762363,1
lNONHSAG024923,1.2882817803733495,1
lNONHSAG000046,0.9410378040682268,1
lENSG00000175061,1.4675027694398146,1
lNONHSAG002086,1.4749987443824857,1
lHSALNG0128018,1.2401358943627336,1
lNONHSAG033480,1.3970291874258258,1
lENSG00000286171,1.4019117113956945,1
lNONHSAG014470,1.4741116070042573,1
lNONHSAG010319,1.0254494905572322,1
lENSG00000249492,1.2632472325649893,1
lRP11-155D18.12,1.3367263492499397,1
lNONHSAG005019,1.4199659874654564,1
lNONHSAG030193,1.409951114273138,1
lNONHSAG027323,1.4820569934609402,1
lNONHSAG026523,1.5230886667744237,1
lNONHSAG033298,0.6790346157114975,1
lNONHSAG002701,1.3381633967048536,1
lNONHSAG033643,1.402772450013071,1
lHSALNG0127309,1.1883984470685327,1
lNONHSAG016733,1.1455117207049703,1
lRP1-167A14.2,1.0085207450264413,1
lRP11-106M3.2,1.1800649648259132,1
lNONHSAG036415,1.5487929513843817,1
lNONHSAG014852,1.440807491874903,1
lNONHSAG019942,1.673817260694161,1
lNONHSAG055329,1.3351637162909604,1
lNONHSAG025992,1.3831159080216047,1
lNONHSAG040784,1.3033700318554047,1
lNONHSAG018057,1.1066436490004854,1
lHSALNG0019173,1.1017569243113137,1
lNONHSAG052523,1.148546130532889,1
lENSG00000279123,1.0235619755074161,1
lNONHSAG034916,1.1519056284534024,1
lPOLR2J4,1.3726440160170164,1
lNONHSAG049731,1.0638412393441108,1
lNONHSAG045099,1.2588587145072516,1
lNONHSAG025551,1.0455481041176675,1
lNONHSAG012191,1.3090040980928528,1
lNONHSAG001039,1.6103344196826122,1
lNONHSAG010986,1.3207873850126326,1
lNONHSAG010726,1.0198991659256187,1
lNONHSAG018749,1.208622748053937,1
lCTC-550B14.6,1.4945787566025608,1
lENSG00000283317,1.4421878861103714,1
lNONHSAG043479,1.4486456434794341,1
lNONHSAG021404,1.5728648657773725,1
lNONHSAG047466,1.2325889010475741,1
lNONHSAG010313,1.2969049583141263,1
lENSG00000235819,0.993151052188562,1
lNONHSAG047260,1.3814378454179739,1
lENSG00000265749,1.5513540341337766,1
lNONHSAG056025,1.6536383140539037,1
lNONHSAG014289,1.780426772287182,1
lNONHSAG016100,1.1364541844363423,1
lNONHSAG034326,1.5054802292497094,1
