dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
115,10090,ENSMUSG00000000957,Mmp14,C,,"{""mgi_marker"":""MGI:101900"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101900""}"
115,10090,ENSMUSG00000067591,Klra3,NE,,"{""mgi_marker"":""MGI:101905"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101905""}"
115,10090,ENSMUSG00000049649,Gpr3,NE,,"{""mgi_marker"":""MGI:101908"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101908""}"
115,10090,ENSMUSG00000041468,Gpr12,NE,,"{""mgi_marker"":""MGI:101909"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101909""}"
115,10090,ENSMUSG00000021678,F2rl1,NE,,"{""mgi_marker"":""MGI:101910"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101910""}"
115,10090,ENSMUSG00000027368,Dusp2,NE,,"{""mgi_marker"":""MGI:101911"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101911""}"
115,10090,ENSMUSG00000022174,Dad1,C,,"{""mgi_marker"":""MGI:101912"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101912""}"
115,10090,ENSMUSG00000003657,Calb2,NE,,"{""mgi_marker"":""MGI:101914"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101914""}"
115,10090,ENSMUSG00000019874,Fabp7,NE,,"{""mgi_marker"":""MGI:101916"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101916""}"
115,10090,ENSMUSG00000052131,Akr1b7,NE,,"{""mgi_marker"":""MGI:101918"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101918""}"
115,10090,ENSMUSG00000031731,Ap1g1,C,,"{""mgi_marker"":""MGI:101919"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101919""}"
