gene	essentiality	ncbi_id	ensembl
RNPEPL1	CSEGs	57140	ENSG00000142327
RORB	CSEGs	6096	ENSG00000198963
RP9	CSEGs	6100	ENSG00000164610
RPA1	CEGs	6117	ENSG00000132383
RPA2	CEGs	6118	ENSG00000117748
RPA3	CEGs	6119	ENSG00000106399
RPAP1	CEGs	26015	ENSG00000103932
RPF2	CEGs	84154	ENSG00000197498
RPL10A	CEGs	4736	ENSG00000198755
RPL11	CEGs	6135	ENSG00000142676
RPL12	CEGs	6136	ENSG00000197958
RPL13	CEGs	6137	ENSG00000167526
RPL13A	CEGs	23521	ENSG00000142541
RPL14	CEGs	9045	ENSG00000188846
RPL15	CEGs	6138	ENSG00000174748
RPL17	CEGs	6139	ENSG00000265681
RPL18	CEGs	6141	ENSG00000063177
RPL18A	CEGs	6142	ENSG00000105640
RPL19	CEGs	6143	ENSG00000108298
RPL21	CEGs	6144	ENSG00000122026
RPL23	CEGs	9349	ENSG00000125691
RPL23A	CEGs	6147	ENSG00000198242
RPL24	CEGs	6152	ENSG00000114391
RPL26	CEGs	6154	ENSG00000161970
RPL27	CEGs	6155	
RPL27A	CEGs	6157	
RPL3	CEGs	6122	ENSG00000100316
RPL30	CEGs	6156	ENSG00000156482
RPL31	CEGs	6160	ENSG00000071082
RPL32	CEGs	6161	ENSG00000144713
RPL34	CEGs	6164	ENSG00000109475
RPL35	CEGs	11224	ENSG00000136942
RPL35A	CEGs	6165	ENSG00000182899
RPL36	CEGs	25873	
RPL36A	CEGs	6173	ENSG00000241343
RPL37A	CEGs	6168	ENSG00000197756
RPL38	CEGs	6169	ENSG00000172809
RPL4	CEGs	6124	ENSG00000174444
RPL41	CSEGs	6171	ENSG00000229117
RPL5	CEGs	6125	ENSG00000122406
RPL6	CEGs	6128	
RPL7	CEGs	6129	ENSG00000147604
RPL7L1	CEGs	285855	ENSG00000146223
RPL8	CEGs	6132	ENSG00000161016
RPL9	CSEGs	6133	ENSG00000163682
RPLP0	CEGs	6175	ENSG00000089157
RPLP1	CEGs	6176	ENSG00000137818
RPN2	CEGs	6185	ENSG00000118705
RPS11	CEGs	6205	ENSG00000142534
RPS12	CEGs	6206	ENSG00000112306
RPS13	CEGs	6207	ENSG00000110700
RPS14	CEGs	6208	ENSG00000164587
RPS15	CEGs	6209	ENSG00000115268
RPS15A	CEGs	6210	ENSG00000134419
RPS16	CEGs	6217	
RPS18	CEGs	6222	ENSG00000231500
RPS19	CEGs	6223	
RPS2	CEGs	6187	ENSG00000140988
RPS20	CEGs	6224	ENSG00000008988
RPS21	CEGs	6227	ENSG00000171858
RPS23	CEGs	6228	ENSG00000186468
