lncRNA_ID,Score
lENSMUSG00000102063,0.08664205781442617
lNONMMUG034183,0.08680875709191747
lENSMUSG00000087399,0.0868231548294661
lNONMMUG021603,0.0868776999268397
lNONMMUG024668,0.08711913959896989
lNONMMUG000466,0.08744678583321383
lNONMMUG031924,0.08793456492413218
lNONMMUG020844,0.0880764860571621
lNONMMUG009447,0.08820406571455064
lNONMMUG040141,0.08857094144380798
lNONMMUG003055,0.08867679005451067
lNONMMUG028685,0.08871850923837267
lENSMUSG00000091659,0.0888975679620288
lNONMMUG023910,0.08903624654329406
lNONMMUG045078,0.08932953091094072
lNONMMUG043894,0.09004277787106503
lENSMUSG00000086701,0.09053136846049736
lNONMMUG023222,0.09053136846049736
lGm12065,0.0906937832460699
lNONMMUG044253,0.09096455813516956
lNONMMUG005580,0.09118054826454303
lNONMMUG000665,0.09123842820627058
lENSMUSG00000087544,0.09132616357731145
lGm13923,0.09132616357731145
lNONMMUG015594,0.09146497805339379
lNONMMUG041605,0.09162902425370954
lNONMMUG001104,0.09198349000465735
lNONMMUG002883,0.09234203890486166
lNONMMUG025987,0.09285074500549266
lNONMMUG005431,0.09287883116325828
lNONMMUG043879,0.0930062814341092
lNONMMUG032090,0.0934342071920774
lENSMUSG00000107679,0.0935410790998137
lENSMUSG00000102067,0.09365144076854812
lNONMMUG011285,0.09377925177429314
lENSMUSG00000107266,0.09384482303520184
lNONMMUG030116,0.09399274761496286
lNONMMUG001062,0.09430124487221263
lENSMUSG00000086053,0.09444028831532318
lGm11665,0.09445896003626116
lNONMMUG016859,0.09466840455561315
lNONMMUG007058,0.0947106510148214
lNONMMUG029268,0.09489212949257596
lNONMMUG002908,0.09509478004940296
lNONMMUG015592,0.09513053687092463
lNONMMUG020374,0.09521146305862427
lNONMMUG012699,0.09525396919150395
lNONMMUG031278,0.09544548492840185
lENSMUSG00000099665,0.09634639486851104
lNONMMUG010644,0.09635595846856226
lNONMMUG010664,0.09663833532038975
lNONMMUG044629,0.09690246121872241
lNONMMUG008391,0.09710435405501985
lNONMMUG042228,0.09727800795208694
lNONMMUG020753,0.09778827433339779
lENSMUSG00000100538,0.09783951553667773
lNONMMUG036958,0.09799885918942675
lNONMMUG016029,0.09828019399418135
lENSMUSG00000087559,0.09834029746552295
lGm13802,0.09834029746552295
lNONMMUG028171,0.09868947713268193
lNONMMUG041408,0.09874438090425665
lNONMMUG010616,0.09951040913089038
lNONMMUG039269,0.0997682761115924
lNONMMUG009671,0.09991280190627878
lENSMUSG00000107985,0.10001953013860682
lNONMMUG013529,0.100197497132011
lNONMMUG043318,0.10021320569325201
lNONMMUG025030,0.10026701749807236
lNONMMUG001294,0.10034841112214703
lGm12223,0.10060379864154667
lNONMMUG001249,0.10074446205229197
lNONMMUG016597,0.10145755719162981
lNONMMUG045354,0.10148920824117817
lENSMUSG00000091192,0.10149465675059426
lNONMMUG022392,0.10149465675059426
lENSMUSG00000105092,0.10195125550082117
lSnhg7,0.10201423719681978
lNONMMUG045264,0.10239175420864081
lNONMMUG004178,0.10245921068098632
l1700046C09Rik,0.10249709218952359
lNONMMUG045733,0.10257501062640861
lNONMMUG003659,0.10262860183798543
lENSMUSG00000087015,0.10290796428453086
lENSMUSG00000089683,0.10300367882618885
lENSMUSG00000085101,0.10303430269697982
lNONMMUG000055,0.10304684811326839
lNONMMUG026663,0.10314817752322333
lENSMUSG00000106422,0.10370433943992373
lNONMMUG012845,0.10371421508002951
lNONMMUG014312,0.10396280698631766
lNONMMUG009249,0.10404492667240768
lENSMUSG00000090248,0.10415742534284003
lNONMMUG024611,0.10415742534284003
lENSMUSG00000085892,0.10427420783871365
lNONMMUG039264,0.10427420783871365
lNONMMUG029780,0.10431183429265829
lENSMUSG00000108289,0.10436706216652417
lENSMUSG00000105516,0.10443828630893003
lENSMUSG00000101253,0.10444334770474255
lNONMMUG005824,0.10453256101114897
lNONMMUG004927,0.10478152108676063
lNONMMUG020110,0.10488496954365784
lNONMMUG002151,0.10502020670108309
lNONMMUG033593,0.10530198870904961
lNONMMUG035012,0.10530977276505644
lNONMMUG035755,0.10541267853731244
lNONMMUG003385,0.10571232243537369
lNONMMUG027386,0.10571695711219417
lNONMMUG024416,0.10583847512759251
lNONMMUG042287,0.10583966958959866
lSnord69,0.10597365499858798
lENSMUSG00000108415,0.1059887274883317
lNONMMUG037482,0.1059887274883317
lNONMMUG038148,0.10627507398414203
lNONMMUG001368,0.10633746880941272
lNONMMUG029940,0.10693146794557394
lENSMUSG00000109399,0.10704105853313114
lENSMUSG00000087234,0.10774728825471665
lNONMMUG011864,0.10799335949653885
lNONMMUG036641,0.10818760307675349
lNONMMUG008495,0.10835905719767996
lENSMUSG00000101370,0.10869363457323146
lNONMMUG042283,0.10878432019319663
lNONMMUG011376,0.10885275029934469
lNONMMUG035975,0.10894547411113452
lENSMUSG00000106808,0.10910238402273771
lNONMMUG026087,0.10916503219887741
lNONMMUG005378,0.10917976346684566
lNONMMUG023956,0.10927636498835148
lENSMUSG00000104807,0.10928977224166982
lNONMMUG024475,0.10938609647207194
lNONMMUG010970,0.10947664035493727
