HSALNG0116913	NONHSAG022018
HSALNG0116966	ENSG00000262879
HSALNG0117003	NONHSAG022040
HSALNG0117491	NONHSAG022252
HSALNG0117491	ENSG00000279059
HSALNG0117712	NONHSAG022328
HSALNG0118162	NONHSAG022523
HSALNG0118336	NONHSAG022583
HSALNG0118368	ENSG00000267009
HSALNG0118577	ENSG00000277728
HSALNG0119000	NONHSAG022872
HSALNG0119257	NONHSAG022995
HSALNG0119322	ENSG00000262413
HSALNG0119325	NONHSAG023036
HSALNG0121509	NONHSAG023844
HSALNG0122594	NONHSAG024210
HSALNG0123022	NONHSAG024364
HSALNG0123022	ENSG00000248015
HSALNG0123151	ENSG00000288156
HSALNG0123171	NONHSAG024444
HSALNG0123514	NONHSAG024587
HSALNG0124137	ENSG00000285583
HSALNG0124251	ENSG00000267519
HSALNG0124523	NONHSAG025091
HSALNG0124523	ENSG00000269053
HSALNG0124629	NONHSAG025133
HSALNG0125369	NONHSAG076469
HSALNG0125545	NONHSAG025547
HSALNG0125577	NONHSAG025559
HSALNG0125577	ENSG00000279619
HSALNG0125663	NONHSAG025605
HSALNG0125716	NONHSAG025636
HSALNG0125767	NONHSAG076117
HSALNG0126758	NONHSAG026116
HSALNG0127037	NONHSAG026272
HSALNG0127266	NONHSAG026385
HSALNG0127309	NONHSAG026407
HSALNG0127309	ENSG00000269535
HSALNG0127527	NONHSAG026520
HSALNG0145984	ENSG00000276570
HSALNG0127940	NONHSAG026712
HSALNG0127995	NONHSAG026744
HSALNG0128018	NONHSAG031079
HSALNG0128020	NONHSAG031078
HSALNG0129467	NONHSAG031565
HSALNG0146822	ENSG00000236772
HSALNG0129600	ENSG00000260257
HSALNG0129835	NONHSAG031703
HSALNG0130248	NONHSAG031818
HSALNG0130248	ENSG00000226143
HSALNG0130661	NONHSAG081583
HSALNG0130923	NONHSAG082041
HSALNG0130923	ENSG00000271774
HSALNG0131657	NONHSAG032297
HSALNG0131723	NONHSAG032327
HSALNG0132359	NONHSAG032544
HSALNG0132359	ENSG00000232512
HSALNG0132766	NONHSAG032705
HSALNG0133422	NONHSAG032986
HSALNG0133549	NONHSAG033038
HSALNG0134004	NONHSAG033266
HSALNG0134114	NONHSAG033308
HSALNG0134192	NONHSAG033348
HSALNG0147385	NONHSAG033569
HSALNG0147385	ENSG00000232464
HSALNG0134965	NONHSAG033712
HSALNG0135285	NONHSAG033858
HSALNG0135439	NONHSAG033937
HSALNG0136019	NONHSAG034172
HSALNG0136205	NONHSAG034215
HSALNG0139255	ENSG00000271147
HSALNG0139255	RP4-769N13.6
HSALNG0139593	NONHSAG055125
