Tceb1,Eloc
3110043O21Rik,C9orf72
B230118H07Rik,Iftap
Fam115c,Tcaf2
Fam212b,Inka2
Carkd,Naxd
1110057K04Rik,Ldah
Tenc1,Tns2
March11,Marchf11
Hdhd1a,Pudp
Fam173b,Atpsckmt
Hist1h4m,H4c17
Gm3244,Ndufb4c
Hist1h4f,H4c6
Hist1h4i,H4c9
Ccdc132,Vps50
Fam189a2,Entrep1
Hmga1-rs1,Hmga1b
Ccdc55,Nsrp1
Twistnb,Polr1f
Srpr,Srpra
C330007P06Rik,Steep1
Wibg,Pym1
Zcchc6,Tut7
4930502E18Rik,Ct55
Peo1,Twnk
2610034B18Rik,Arpin
H2-Ke6,Hsd17b8
Rbm14-rbm4,Gm21992
Fam96a,Ciao2a
Fdx1l,Fdx2
Hdgfrp3,Hdgfl3
l7Rn6,Hikeshi
Hist3h2ba,H2bc27
Selo,Selenoo
Casc4,Golm2
Cecr5,Hdhd5
Fam63a,Mindy1
D17Wsu104e,Mydgf
Pvrl1,Nectin1
Nov,Plxna1
Sept14,Septin14
Gpr125,Adgra3
Gpr116,Adgrf5
Clca3,Clca1
1110004E09Rik,Cfap298
4930563D23Rik,Fam243
Diap3,Diaph3
Dnaic1,Dnai1
Lrrc48,Drc3
Dusp13,Dusp13a
Fam160b1,Fhip2a
Fam69a,Dipk1a
Gsg2,Haspin
Kdelc1,Poglut2
9530077C05Rik,Matcap2
1700034O15Rik,Llcfc1
Maats1,Cfap91
Fam64a,Pimreg
Fam178a,Slf2
St5,Dennd2b
Prkrir,Thap12
1700023E05Rik,Spmap2l
Ttc25,Odad4
Murc,Cavin4
Tmem55a,Pip4p2
Fam160a2,Fhip1b
Ddx26b,Ints6l
Gm1305,Kif28
C530008M17Rik,Cracd
Gm996,Ajm1
Prkcdbp,Cavin3
Pddc1,Gatd1
Olfr592,Or52j3
Fam134c,Retreg3
Ept1,Selenoi
Znrd1,Polr1h
Dupd1,Dusp29
Ftsj2,Mrm2
Heatr2,Dnaaf5
Cramp1l,Cramp1
Ccdc94,Yju2
4930452B06Rik,Cfap20dc
H2afy2,Macroh2a2
Cecr6,Tmem121b
Sdpr,Cavin2
C77080,Nhsl3
2310067B10Rik,Tmem94
Wdr60,Dync2i1
Pqlc3,Slc66a3
0610007P14Rik,Erg28
Olfr71,Or13j1
Ccdc109b,Mcub
Gm13826,Rpl37rt
9430016H08Rik,Maip1
9030617O03Rik,Dglucy
Olfr694,Or2ag1b
Hist1h2ac,H2ac6
Hist1h2ad,H2ac7
Fam26e,Calhm5
Gm3414,Lcorl
Ppap2c,Plpp2
Ppap2a,Plpp1
Dopey1,Dop1a
3110001I22Rik,Bfar
Bzrap1,Tspoap1
Fam35a,Shld2
March8,Marchf8
5430427O19Rik,Tasl
Hiat1,Mfsd14a
Tmem110,Stimate
Ppapdc1b,Plpp5
Mfsd7b,Flvcr1
Agpat6,Gpat4
Fam109a,Pheta1
Pvrl3,Nectin3
Pcnxl3,Pcnx3
1700112E06Rik,Lrmda
D930015E06Rik,Tmem131l
Tmem2,Cemip2
4930432K21Rik,Brme1
Tmem57,Maco1
Hrsp12,Rida
0610037L13Rik,Czib
Fam134b,Retreg1
Tmem194b,Nemp2
1110008F13Rik,Rab5if
Fam105a,Otulinl
Atp5g1,Atp5mc1
D10Wsu102e,Nopchap1
Fam134a,Retreg2
1500011K16Rik,Mtln
H1fx,H1f10
Sept10,Septin10
Ccbl1,Kyat1
1700016D06Rik,Spaca7b
4930548H24Rik,Ccdc121
I830012O16Rik,Ifit3b
D10Bwg1379e,Arfgef3
Dos,Cbarp
0610010F05Rik,Sanbr
Lppr2,Plppr2
D15Ertd621e,Fam91a1
Tmem35,Tmem35a
COX1,Ptgs1
Cpsf3l,Ints11
Palm2,Pakap
Epb4.1l4b,Epb41l4b
Chil1,Chi3l1
Aim1,Slc45a2
Pnmal2,Pnma8b
6330403A02Rik,Stum
Pifo,Cimap3
Olfr589,Or52e2
C130080G10Rik,Actc1dt
Oit1,Fam3d
1700061G19Rik,Acsbg3
1700080O16Rik,Magea14
Ppp1r32,Saxo4
Fam25c,Fam25a
Pramef8,Pramel12
March4,Marchf4
A830080D01Rik,Bclaf3
1110012L19Rik,Eola1
1700023L04Rik,Smkr-ps
Gm5607,Sox1ot
Rgag4,Rtl5
Olfr986,Or6x1
Gm6583,Ccdc121rt3
Fam19a5,Tafa5
Olfr1459,Or5b106
Olfr846,Or7g28
Gm648,Ct45a
Gm1631,Platr26
6030419C18Rik,Insyn1
Fam155a,Nalf1
3110039I08Rik,Mir100hg
Ccdc105,Tektl1
Gm364,Tm9sf5
1700019B21Rik,Tslrn1
C330013F16Rik,Platr21
AI662270,Slfnlnc
4930412L05Rik,Lexis1
Kcne1l,Kcne5
C330046G13Rik,Platr7
2410088K16Rik,Platr5
A930011O12Rik,Mir124a-1hg
Peril,Gm38509
Gm3417,Dynlt2a3
8430408G22Rik,Depp1
Slmo1,Prelid3a
1110058L19Rik,Sdhaf4
Qars,Qars1
Gm11639,Efcab3
1110007C09Rik,Card19
Tmem56,Tlcd4
1810011O10Rik,Tcim
Fam214a,Atosa
Xrcc6bp1,Atp23
6330416G13Rik,Tmem268
G9a,Ehmt2
SETD8,Kmt5a
JARID1B,Kdm5b
RING1B,Rnf2
JARID1C,Kdm5c
Tip60,Kat5
TERRA,Dmrt2
TEP1,Pten
coREST,Rcor2
Hnrpdl,Hnrnpdl
Hnrpll,Hnrnpll
Thoc4,Alyref
RANBP9,Ipo9
PKR,Eif2ak2
FMRP,Fmr1
Tdp43,Tardbp
TTP,Zfp36
PABP1,Pabpc1
MSI2H,Msi2
Bim,Bcl2l11
m6A,Gpm6a
Nova,Nova1
AID,Aicda
LIN28,Lin28a
NPM1,Npm1
PARP-1,Parp1
GR,Mfsd12
BC027072,Pcare
2410089E03Rik,Cplane1
Gm4070,Gvin2
AU022751,Ezhip
Yars,Yars1
Hist1h2bb,H2bc3
4932431P20Rik,Wdr87-ps
Gm7173,Cfap47
Hist1h2bg,H2bc8
Hist2h3b,H3c13
CYTB,mt-Cytb
Gm20899,Gapdh-ps15
Hist1h2ai,H2ac13
Taf4a,Taf4
Hist1h3e,H3c6
Hist1h4b,H4c2
Hist3h2bb-ps,H2bc26
Gm10358,Gapdhrt2
Gm3272,Gapdh-ps16
Gm3839,Gapdhrt
Gm2193,Gapdh-ps14
Gm5678,Cbr1b
Gm8086,Mrip-ps
Hist1h3f,H3c7
Hist1h4h,H4c8
Hist1h4k,H4c12
Cdk3-ps,Cdk3
BC100451,Cep295nl
Hist1h2bc,H2bc4
Hist1h4a,H4c1
Hist1h2bl,H2bc13
Akr1b3,Akr1b1
Gm10116,Ftl1-ps1
Gm13023,Pramel25
Nhp2l1,Snu13
9030624J02Rik,Vps35l
Hist1h3a,H3c1
Hist1h3d,H3c4
Gm9774,Adrm1b
Gm21818,Tcstv1b
Tcstv1,Tcstv1a
ND4,mt-Nd4
ND5,mt-Nd5
Hist1h2af,H2ac10
Hist1h2bq,H2bc23
Gm20767,Tcstv2c
Pyhin1,Ifi209
AF067061,Tcstv2a
5430421N21Rik,Krt83
Gm13697,Cwc22rt7
Gm13695,Cwc22rt3
Gm5601,Ppp1ccb
Hist1h2be,H2bc6
Gm3873,Ndufb4b
Hist1h4j,H4c11
Hist1h4n,H4c18
Sept1,Septin1
Gm10260,Rps18-ps6
Hist1h3b,H3c2
Hist1h2br,H2bc24
Hist1h2al,H2af-ps2
Gm4737,Ahcyl
Hist2h3c1,H3c14
Hist1h3c,H3c3
Hist2h3c2,H3c15
2010300C02Rik,Cracdl
Hist1h2bp,H2bc22
Hn1l,Jpt2
Als2cr12,Flacc1
BC052040,Cdin1
Gm35339,Wdr97
C130026I21Rik,Sp140l2
Ttc30b,Ift70b
BC017643,Cybc1
Hist1h2bf,H2bc7
Hist1h2bj,H2bc11
Hist1h2bn,H2bc15
Selt,Selenot
BC003331,Odr4
ND4L,mt-Nd4l
ND2,mt-Nd2
ND3,mt-Nd3
Atp5g2,Atp5mc2
Hist1h2ae,H2ac8
Hist1h2ag,H2ac11
Hist1h2an,H2ac22
Hist1h2ap,H2ac24
Hist1h2ab,H2ac4
Hist1h2ao,H2ac23
2410141K09Rik,Zfp998
C77370,Nexmif
Gm5428,Rpl6l
Gm8394,Psma5-ps
Gm12372,Taf9-ps
BC023829,Tmem185a
March6,Marchf6
Hist1h2bh,H2bc9
BC017158,Rusf1
Selm,Selenom
Gmcl1l,Btbd35f1
Gm6657,Ccdc196
Hist1h3g,H3c8
ATP6,mt-Atp6
Gm10093,Hdac1-ps
AF529169,Minar1
N28178,Phf24
BC026585,Cryzl2
Hist2h2aa2,H2ac19
COX3,mt-Co3
Cxx1b,Rtl8b
H2afy3,Macroh2a3
Pramef12os,Pramel13os
BC055111,Cimap2
6330419J24Rik,Smim10l2a
Gm9992,Unc93a2
BC051142,Tsbp1
1700029P11Rik,Ndufb11b
Gm6406,Prr23a2
Cxx1a,Rtl8a
4930444G20Rik,Semp2l2b
G630090E17Rik,Mfsd4b3-ps
Pramef17,Pramel14
Gm6880,Ctag2l1
Gm5566,Nme-ps1
Gm6310,Rhox2-ps
Gm6274,Rpl7-ps9
Gm14284,Snrpert
Dnmt3b-ps1,Dnmt3c
Gm6415,Ndufs6b
AI427809,Mexis
C430049B03Rik,Mir503hg
AF067063,Tcstv7a
Gm8332,Eif1ad10
Gm18336,Pnma6e
Gm18048,Phf20-ps
Gm15453,Rbm3-ps
Gm3934,Gstp-ps
9530053A07Rik,Fcgbpl1
Olfr1480,Or5b121
Fam60a,Sinhcaf
WDR5,Wdr5
SUZ12,Suz12
MBD1,Mbd1
MeCP2,Mecp2
CTCF,Ctcf
PRC1,Prc1
CBX3,Cbx3
SUV39H1,Suv39h1
CBX1,Cbx1
ESET,Setdb1
HDAC1,Hdac1
YY1,Yy1
TERT,Tert
hnRNP-K,Hnrnpk
JARID2,Jarid2
SRSF4,Srsf4
Coilin,Coil
Adenomatous polyposis coli (APC),Apc
AGO2,Ago2
PABPC1,Pabpc1
QKI,Qki
PSPC1,Pspc1
FMR1,Fmr1
FUS,Fus
DAZL,Dazl
AGO1,Ago1
AGO4,Ago4
EED,Eed
TAF15,Taf15
CBX7,Cbx7
RBM10,Rbm10
TIA1,Tia1
SFPQ,Sfpq
NF-κB p65,Rela
β-catenin,Ctnnb1
Sin3A,Sin3a
EZH2,Ezh2
CIZ1,Ciz1
E-selectin,Sele
PTBP1,Ptbp1
ANXA2,Anxa2
DDX18,Ddx18
DDX5,Ddx5
Elav1,Elavl1
CELF6,Celf6
LIN28B,Lin28b
LIN28A,Lin28a
hnRNPF,Hnrnpf
IDH1,Idh1
PUM2,Pum2
KDM5A,Kdm5a
PINK1,Pink1
CNBP,Cnbp
TLR4,Tlr4
FOXM1,Foxm1
SOX2,Sox2
CSDE1,Csde1
YTHDC2,Ythdc2
hnRNPL,Hnrnpl
PTBP3,Ptbp3
ALKBH1,Alkbh1
TET2,Tet2
NLRP3,Nlrp3
p300,Ep300
ELAVL1,Elavl1
rela,Rela
YAP1,Yap1
MYD88,Myd88
Aes,Tle5
Cd244,Cd244a
Park2,Prkn
Ddx58,Rigi
AF366264,Semp2l2a
Qk,Qki
Mut,Mmut
Bre,Babam2
Cenpj,Cpap
4930505A04Rik,Cimip6
COX2,Ptgs2
skt,Chsy1
2810004N23Rik,Fsaf1
Csnka2ip,Csnk2a2ip
Gm14005,Morrbid
IQGAP,Iqgap1
RFOX2,Rbfox2
TYY1,Yy1
VIGLN,Hdlbp
KPYM,Pkm
hnRNP H,Hnrnpk
